Priority,Category,What,Date,Time,Link,Map Link,Comments/Notes,Booked?
1,Show,GEAR,"Friday, June 5, 2026",5:00 PM,https://www.gear.ac/en/,,"Performance Date	Fri Jun 5
Performance Time	19:00-20:30
Reservation number	8241",Yes
1,Hike,Fushimi-inari shrine,,,,,,
1,Restaurant,Pontocho alley dinner,,,,,,
1,Activity,Nijo Castle,,,,,,
1,Activity / Food,Nishiki market,,,,,,
1,Neighborhood,Dinner in Gion,,,,,,
1,Neighborhood,Kiyomizu dera walk ,,,,,,
2,Activity,Arashiyama bamboo forest,,,,,,
1,Street,Ninenzaka & Sannenzaka,,,,,,
3,Dessert,Imo Pi-pi,,,https://www.instagram.com/imo_pi_pi_kyoto/,Imo Pi-pi. Kyoto Gion,Dessert shop specializing in purple potato ice cream and desserts. Near Yasaka Shrine.,
3,Bar,L'Escamoteur,,Open 8 pm - 2 am (closed Mondays),https://www.instagram.com/escamoteurbar/,L'Escamoteur,,
3,Restaurant,Taku Sando,,,https://www.takusandokyoto.com/home,Taku Sando Kyoto,,
3,Restaurant,Doi Katsuman - Gion Yasaka,,,,Doi Katsuman - Gion Yasaka,"Unagi restaurant, probably not for kids",
3,Restaurant,Men-ya Inoichi,,,,"Men-ya Inoichi
Men-ya Inoichi Hanare",Ramen; 2 locations,
3,Restaurant,料理屋 てら戸,,,,料理屋 てら戸,Japanese; has Sushi and Sashimi. Only 8 seats though.,
