Priority,Category,What,Date,Time,Info Link,Map Link,Comments/Notes,Booked?
1,Activity,teamLab Planets,,,https://teamlabplanets.dmm.com/,teamLab Planets TOKYO DMM,"Digital, interactive, immersive art museum. ",Yes
1,Activity,Pig Cafe,,,https://mipig.cafe/,mipig cafe Harajuku,mipig cafe Harajuku Takeshita Street,
1,Activity,Owl Cafe,,,,,,
1,Activity,Senso-ji Buddhist Temple,,,https://www.senso-ji.jp/english/,Sensō-ji,Main hall open 6:30 am - 5pm; grounds open 24 hours ,
1,Cafe,Cinnamoroll Cafe,,,Near shinjuku garden,Cinnamoroll Cafe,,
1,Food Alley,Omoide Yokocho,,,,Omoide Yokocho Memory Lane,,
1,Neighborhood/Shopping,Asakusa,,,,"Nakamise Shopping Street
Hoppy Street ホッピー通り","Asakusa, known for its old-world atmosphere and the iconic Sensoji Temple, offers a variety of shopping experiences, including boutiques, traditional crafts, and souvenir shops, with notable areas like Nakamise-dori and Hoppy Street. ",
1,Night light show,Tokyo Metropolitan Night Show,,,,,,
2,Activity,Shibuya SKy,,,,,,
2,Activity,Takeshita street in Harajuku,,,,Takeshita St,"food, fashion and unique culture
Takeshita Street is famous for crepes, harajuku shopping, and its pastel pink storefronts. The street in Harajuku is filled with imaginative dessert shops and fun trendy stores. Takeshita Street is easily one of the best places to go shopping in Tokyo.",
2,Cafe,Shiro Hige Cream Puff (totoro),,,,,,
2,Park,Meiji Jingu Gaien Gingko Avenue,,,,Meiji Jingu Gaien Ginkgo Avenue,,
2,Park,"Shinjuku Gyoen National Garden
",PArk and garden,,,Shinjuku Gyoen National Garden,,
2,Restaurant,Ninja Tokyo,,,,Ninja Tokyo,,
2,Shopping,Akihabara & Nakano Broadway (toys & gadget heaven),"Akihabara: Anime lover paradise, ton of gashapon vending machines",,,,,
3,Cafe,Sanrio Cafe,,,,,,
3,Robot Restaurant,DAWN | Avatar Robot Cafe,,,,DAWN | Avatar Robot Cafe ver.β,,
4,Activity,Otter Petting Zoo,,,,수달 카페,Otter petting zoo on crazy pedestrian shopping street,
4,Neighborhood/Shopping,Kappabashi kitchen town,,,https://www.timeout.com/tokyo/shopping/best-shops-in-kappabashi-kitchen-town,FU WA RI,"Sample food stores, chopsticks, japanese pottery, knife stores, etc.",
4,Shopping,Gashapon dept store,Largest gashapon store with pokemon center,,,Gashapon Ikebukuro Main Store,,
6,Activity,Animal Petting Zoo,,,https://www.tokyodomecity.anitouch.com/en/,Anitouch Tokyo Dome,,
6,Activity,Food Walking Tour,,,https://www.tripadvisor.com/AttractionProductReview-g14133673-d28270438-Tokyo_Shinjuku_Food_Tour_13_Dishes_at_4_Local_Eateries-Nishishinjuku_Shinjuku_To.html,Starbucks Coffee - Shinjuku Nishiguchi,"Meet in front of Starbucks located close to the west exit of Shinjuku Station. 
The guide will be waiting in front of the Starbucks.",
6,Activity,Sky Tree,,,https://www.tokyo-skytree.jp/en/ticket/individual/,Tokyo Skytree,Can buy a combo ticket for both Sky Tree and the aquarium here. Reservation in advance recommended.,
6,Activity,Sumida Aquarium,,,https://www.sumida-aquarium.com/en/index.html,Sumida Aquarium,,
6,Activity,Open Air Archictechtural Museum,,,https://www.tatemonoen.jp/english/,Edo-Tokyo Open Air Architectural Museum,,
6,Bakery,Laekker,,,https://www.instagram.com/laekker_daikanyama,Laekker,Bakery not too far (?) from Nakameguro,
6,Dessert,Sembikiya Fruit Parlor,,,https://www.sembikiya.co.jp/lang/en#en-3,Sembikiya Fruit Parlor,"Please enjoy the great dishes and desserts in the shiny, gorgeous space for significant anniversaries or special dinner parties. The fruit served here boasts the quality that only a fruit specialty store can offer. Specially selected from all over the world, fruit is cut quickly by experienced staff. Their light style of handling fruit brings out 100% of the seasonal flavor.",
6,Neighborhood/Shopping,Nakameguro,,,https://www.gotokyo.org/en/destinations/southern-tokyo/nakameguro/index.html,Naka-Meguro Tsutaya Books,"The area is home to a range of cool cafes and restaurants, hip interior and accessory shops and the Nakameguro Koukashita—700 meters of bars and stores anchored by uber-modern bookstore Nakameguro Tsutaya Books. Nakameguro is a bustling bastion of cool throughout the year, but you'll find the crowds swell in late March and early April when the densely packed riverside cherry trees bud and blossom, creating an ultra-photogenic tunnel of pink.",
6,Restaurant,Udon Shin,,,https://udonshin.com/,Udon Shin,"Matt's favorite meal while in Japan. Reservation ID
PE6W9V",Yes
6,Restaurant,Seirinkan,,,,Seirinkan,Pizza/pasta restaurant in Nakameguro,
6,Restaurant,Godaime Hanayama Udon Nihonbashi,,,https://www.hanayamaudon.co.jp/nihonbashi/menu/,Godaime Hanayama Udon Nihonbashi,Line up before it opens,
6,Activity,Tsukiji fish market,,,https://www.japan-guide.com/e/e3021.html,Tsukiji Outer Market,"The outer market opens from 5:00 am, but early morning is for professionals. It is good to go between 9:00 in the morning to 1:00 pm. It gets crowded on Mondays, Fridays and Saturdays. You can get good deals for fresh food on Saturdays.",
6,Activity,Akiabarra,,,,Akihabara Electric Town,"Video games and arcades. Buzzing shopping hub famed for its electronics retailers, ranging from tiny stalls to vast department stores like Yodobashi Multimedia Akiba. Venues specializing in manga, anime, and video games include Tokyo Anime Center, for exhibits and souvenirs, and Radio Kaikan with 10 floors of toys, trading cards, and collectibles.",
6,Activity,Google (in Shibuya Stream),,,go/visittokyo,Google Japan - Shibuya,Need to fill out the form before visiting.,
6,Bar,Gen Yamamoto,,,http://www.genyamamoto.jp/,Gen Yamamoto,Cocktail Omekase. Have to call 7 days in advance to make a reservation,
6,Cafe,Perch (Woodberry Coffee),,,https://www.woodberrycoffee.com/ja-us/pages/location,Perch by WOODBERRY COFFEE Daikanyama,Many locations,
6,Coffee,Turrett Coffee,,,,Turret Coffee Tsukiji,Near Tsukiji fish market. Matt Kaplan's favorite coffee in Japan.,
6,Dessert,Funawa Nakamise 3 Goten,,,,Funawa Nakamise 3 Goten,,
6,Neighborhood,Shimbashi: Local area with hidden restaurants and bars,,,,BAR BLUE BRIDGE,,
6,Restaurant,Ginza Kyubey Honten,,,http://www.kyubey.jp/en/en_shoplist_ginza,Ginza Kyūbey Honten,Sushi Omekase. Requires calling for a reservation.,
6,Restaurant,"Ramen places: Ichiran, Ippudo, Nakiruy",,,,,,
6,Restaurant,Matsue Sushi (Omekase),,,,Matsue Sushi - Ebisu Main Store,"A few locations. Looks like they take reservations. Do not serve vegetarian sushi, so maybe not a great place for the kids.",
6,Restaurant,Gonpachi,,,,Gonpachi Nishi-Azabu,,
6,Restaurant,Jomon,,,https://teyandei.com,Jomon Roppongi,Izakaya (also have sashimi),
6,Restaurant,Tempura Motoyoshi,,,,Tempura Motoyoshi,Omekase place - expensive. Kellie said the ice cream here was one of her highlights in Japan. Super cute to walk around and get away from the hustle bustle,
6,Restaurant,Ramen Jazzy Beats,,,https://www.instagram.com/ramen_jazzybeats/,Ramen Jazzy Beats,,
6,Restaurant,Ivy Place,7 days a week,8am - 11pm,https://www.tysons.jp/ivyplace/en/,Ivy Place,"Designer cafe with pancakes, pizza & brunch cocktails, plus outdoor dining in a manicured garden.",
